Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM	Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0002121	l(2)gl	chr2L	-	9839	21376	2.611714	38.012718	64.821358	FBgn0002121	l(2)gl	chr2L	-	9839	21376	1.874303	28.995417	46.539452
FBgn0051973	Cda5	chr2L	-	25402	65404	0.016301	0.237256	0.404582	FBgn0051973	Cda5	chr2L	-	25402	65404	0.006520	0.100864	0.161893
FBgn0267987	lncRNA:CR46254	chr2L	+	54817	55767	0.000000	0.000000	0.000000	FBgn0267987	lncRNA:CR46254	chr2L	+	54817	55767	0.000000	0.000000	0.000000
FBgn0266879	lncRNA:CR45340	chr2L	+	66318	66524	0.000000	0.000000	0.000000	FBgn0266879	lncRNA:CR45340	chr2L	+	66318	66524	0.000000	0.000000	0.000000
FBgn0067779	dbr	chr2L	+	66482	71390	0.579240	8.430666	14.376431	FBgn0067779	dbr	chr2L	+	66482	71390	0.410758	6.354415	10.199232
FBgn0266322	asRNA:CR44987	chr2L	-	71039	73836	0.063726	1.300827	2.218240	FBgn0266322	asRNA:CR44987	chr2L	-	71039	73836	0.199914	3.823296	6.136628
FBgn0031213	galectin	chr2L	+	71757	76211	0.898878	13.082901	22.309677	FBgn0031213	galectin	chr2L	+	71757	76211	0.732756	29.356873	47.119610
FBgn0031214	CG11374	chr2L	+	76348	77783	0.0	0.0	0.0	FBgn0031214	CG11374	chr2L	+	76348	77783	0.053701	0.830753	1.333410
FBgn0002931	net	chr2L	-	82421	87387	0.249438	4.860324	8.288090	FBgn0002931	net	chr2L	-	82421	87387	0.182921	2.829783	4.541978
FBgn0031216	Zir	chr2L	+	94739	102086	0.597282	8.693261	14.824224	FBgn0031216	Zir	chr2L	+	94739	102086	0.393298	6.084310	9.765696
FBgn0031217	CG11377	chr2L	+	102380	104142	1.984207	28.879541	49.246967	FBgn0031217	CG11377	chr2L	+	102380	104142	2.193304	33.930355	54.460331
FBgn0026787	Nhe1	chr2L	-	103962	106732	0.390043	5.676960	9.680661	FBgn0026787	Nhe1	chr2L	-	103962	106732	0.406115	6.282588	10.083945
FBgn0005278	Sam-S	chr2L	+	106903	114432	2.669624	68.032112	116.012062	FBgn0005278	Sam-S	chr2L	+	106903	114432	2.632462	72.699081	116.686554
FBgn0031228	ND-15	chr2L	+	114726	156030	1.851982	50.257416	85.701683	FBgn0031228	ND-15	chr2L	+	114726	156030	2.275771	63.310646	101.617531
FBgn0031219	CG13694	chr2L	-	115365	116488	0.317616	5.198416	8.864621	FBgn0031219	CG13694	chr2L	-	115365	116488	0.408363	7.283866	11.691060
FBgn0031220	CG4822	chr2L	-	116970	121754	2.311553	33.643967	57.371521	FBgn0031220	CG4822	chr2L	-	116970	121754	2.796165	44.410488	71.281601
FBgn0025683	CG3164	chr2L	-	122624	130791	6.099310	88.773643	151.381653	FBgn0025683	CG3164	chr2L	-	122624	130791	5.195743	80.378006	129.011703
FBgn0266304	asRNA:CR44969	chr2L	+	122837	124031	0.474698	6.909088	11.781754	FBgn0266304	asRNA:CR44969	chr2L	+	122837	124031	0.848499	13.126257	21.068460
FBgn0001142	Gs1	chr2L	+	132077	134472	0.771703	11.231907	19.153259	FBgn0001142	Gs1	chr2L	+	132077	134472	0.709099	13.195300	21.179277
FBgn0265074	lncRNA:CR44185	chr2L	+	135402	136128	0.000000	0.000000	0.000000	FBgn0265074	lncRNA:CR44185	chr2L	+	135402	136128	0.101788	1.574658	2.527424
FBgn0265075	lncRNA:CR44186	chr2L	+	136144	136701	0.000000	0.000000	0.000000	FBgn0265075	lncRNA:CR44186	chr2L	+	136144	136701	0.000000	0.000000	0.000000
FBgn0051976	ovm	chr2L	-	138384	140992	0.050317	0.732349	1.248841	FBgn0051976	ovm	chr2L	-	138384	140992	0.168178	2.601709	4.175905
FBgn0051975	CG31975	chr2L	-	138384	140992	0.050317	0.732349	1.248841	FBgn0051975	CG31975	chr2L	-	138384	140992	0.168178	2.601709	4.175905
FBgn0051974	CG31974	chr2L	-	141077	143091	0.153564	2.235078	3.811377	FBgn0051974	CG31974	chr2L	-	141077	143091	0.056604	0.875662	1.405493
FBgn0031224	CG11454	chr2L	+	143323	144227	1.062983	15.471401	26.382675	FBgn0031224	CG11454	chr2L	+	143323	144227	1.829834	28.307482	45.435272
FBgn0259818	CG42399	chr2L	-	144231	153300	0.055796	0.812094	1.384827	FBgn0259818	CG42399	chr2L	-	144231	153300	0.041093	0.635708	1.020350
FBgn0031227	CG3709	chr2L	-	153539	155305	0.194232	2.826989	4.820735	FBgn0031227	CG3709	chr2L	-	153539	155305	0.217187	3.359877	5.392812
FBgn0031229	CG3436	chr2L	+	156029	157666	1.480087	23.592241	40.230774	FBgn0031229	CG3436	chr2L	+	156029	157666	0.982621	15.201120	24.398745
FBgn0053635	CG33635	chr2L	-	157836	158664	0.288687	4.201753	7.165059	FBgn0053635	CG33635	chr2L	-	157836	158664	0.574772	8.891707	14.271744
FBgn0016977	spen	chr2L	+	159032	203397	2.579141	37.538628	64.012917	FBgn0016977	spen	chr2L	+	159032	203397	1.698665	26.278301	42.178310
FBgn0031231	mRpL10	chr2L	+	203779	204782	0.735327	10.702465	18.250427	FBgn0031231	mRpL10	chr2L	+	203779	204782	0.813953	12.591830	20.210672
FBgn0031232	CG11617	chr2L	-	204743	207297	0.000000	0.000000	0.000000	FBgn0031232	CG11617	chr2L	-	204743	207297	0.000000	0.000000	0.000000
FBgn0031233	Tbc1d15-17	chr2L	+	207179	210725	0.506571	7.372990	12.572824	FBgn0031233	Tbc1d15-17	chr2L	+	207179	210725	0.396057	6.126991	9.834203
FBgn0266557	kis	chr2L	-	210735	250823	3.884185	56.533157	96.403419	FBgn0266557	kis	chr2L	-	210735	250823	2.916532	45.118671	72.418282
FBgn0265151	lncRNA:CR44220	chr2L	+	219651	220050	0.000000	0.000000	0.000000	FBgn0265151	lncRNA:CR44220	chr2L	+	219651	220050	0.000000	0.000000	0.000000
