Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBti0060580	-	chr2L	+	9726	9859	0.000000	0.000000	0.000000
FBgn0002121	l(2)gl	chr2L	-	9839	21376	1.874303	28.995417	46.539452
FBti0059810	-	chr2L	-	9888	9949	0.596774	9.232077	14.818060
STRG.1	-	chr2L	-	9888	9949	0.596774	9.232077	14.818060
STRG.2	-	chr2L	-	12297	17281	3.185160	49.274338	79.088387
FBgn0051973	Cda5	chr2L	-	25402	65404	0.006520	0.100864	0.161893
FBti0059814	-	chr2L	-	27530	27788	0.000000	0.000000	0.000000
FBti0019092	-	chr2L	+	47514	52519	0.229732	3.553948	5.704308
FBgn0267987	lncRNA:CR46254	chr2L	+	54817	55767	0.000000	0.000000	0.000000
FBti0059816	-	chr2L	+	60240	60580	0.000000	0.000000	0.000000
FBti0059818	-	chr2L	+	60663	60773	0.000000	0.000000	0.000000
FBti0019093	-	chr2L	+	64316	64936	0.000000	0.000000	0.000000
STRG.3	-	chr2L	+	47514	52519	0.229732	3.553948	5.704308
FBgn0266879	lncRNA:CR45340	chr2L	+	66318	66524	0.000000	0.000000	0.000000
FBgn0067779	dbr	chr2L	+	66482	71390	0.410758	6.354415	10.199232
FBgn0266322	asRNA:CR44987	chr2L	-	71039	73836	0.199914	3.823296	6.136628
FBgn0031213	galectin	chr2L	+	71757	76211	0.732756	29.356873	47.119610
STRG.4	-	chr2L	+	67632	68359	1.236059	19.121799	30.691679
STRG.5	-	chr2L	-	71039	73836	0.199914	3.823296	6.136628
STRG.6	-	chr2L	+	73485	76211	1.808093	28.581795	45.875565
FBgn0031214	CG11374	chr2L	+	76348	77783	0.053701	0.830753	1.333410
FBgn0002931	net	chr2L	-	82421	87387	0.182921	2.829783	4.541978
FBgn0031216	Zir	chr2L	+	94739	102086	0.393298	6.084310	9.765696
FBgn0031217	CG11377	chr2L	+	102380	104142	2.193304	33.930355	54.460331
FBgn0026787	Nhe1	chr2L	-	103962	106732	0.406115	6.282588	10.083945
FBgn0005278	Sam-S	chr2L	+	106903	114432	2.632462	72.699081	116.686554
STRG.7	-	chr2L	+	107937	114432	4.345708	72.350426	116.126953
FBgn0031228	ND-15	chr2L	+	114726	156030	2.275771	63.310646	101.617531
FBgn0031219	CG13694	chr2L	-	115365	116488	0.408363	7.283866	11.691060
FBti0060557	-	chr2L	+	116518	116976	0.000000	0.000000	0.000000
FBgn0031220	CG4822	chr2L	-	116970	121754	2.796165	44.410488	71.281601
FBgn0025683	CG3164	chr2L	-	122624	130791	5.195743	80.378006	129.011703
FBgn0266304	asRNA:CR44969	chr2L	+	122837	124031	0.848499	13.126257	21.068460
FBti0060562	-	chr2L	-	123547	123635	2.031331	31.424637	50.438499
FBgn0001142	Gs1	chr2L	+	132077	134472	0.709099	13.195300	21.179277
FBgn0265074	lncRNA:CR44185	chr2L	+	135402	136128	0.101788	1.574658	2.527424
FBgn0265075	lncRNA:CR44186	chr2L	+	136144	136701	0.000000	0.000000	0.000000
FBgn0051976	ovm	chr2L	-	138384	140992	0.168178	2.601709	4.175905
FBgn0051975	CG31975	chr2L	-	138384	140992	0.168178	2.601709	4.175905
FBgn0051974	CG31974	chr2L	-	141077	143091	0.056604	0.875662	1.405493
FBgn0031224	CG11454	chr2L	+	143323	144227	1.829834	28.307482	45.435272
FBgn0259818	CG42399	chr2L	-	144231	153300	0.041093	0.635708	1.020350
FBgn0031227	CG3709	chr2L	-	153539	155305	0.217187	3.359877	5.392812
FBgn0031229	CG3436	chr2L	+	156029	157666	0.982621	15.201120	24.398745
STRG.8	-	chr2L	-	115365	116488	0.408363	7.283866	11.691060
STRG.9	-	chr2L	-	117079	121769	2.939597	48.975552	78.608810
STRG.10	-	chr2L	-	122880	124905	6.408237	103.616280	166.310593
STRG.11	-	chr2L	-	125085	129233	6.175749	95.538666	153.345520
STRG.12	-	chr2L	+	132077	134472	0.709099	13.195300	21.179277
STRG.13	-	chr2L	+	135402	136128	0.101788	1.574658	2.527424
STRG.14	-	chr2L	+	143323	144227	1.829834	28.307482	45.435272
STRG.15	-	chr2L	+	155089	156030	2.887227	62.302021	99.998627
FBgn0053635	CG33635	chr2L	-	157836	158664	0.574772	8.891707	14.271744
FBgn0016977	spen	chr2L	+	159032	203397	1.698665	26.278301	42.178310
FBti0060558	-	chr2L	+	172692	172724	0.000000	0.000000	0.000000
FBti0060559	-	chr2L	-	173743	173778	0.000000	0.000000	0.000000
FBti0019095	-	chr2L	-	176393	176512	0.000000	0.000000	0.000000
FBti0060560	-	chr2L	+	178279	178467	0.000000	0.000000	0.000000
FBti0060561	-	chr2L	+	179822	179909	0.000000	0.000000	0.000000
STRG.16	-	chr2L	+	175412	187011	1.691966	26.174669	42.011974
STRG.17	-	chr2L	+	187481	201448	2.407271	37.240414	59.773190
FBgn0031231	mRpL10	chr2L	+	203779	204782	0.813953	12.591830	20.210672
FBgn0031232	CG11617	chr2L	-	204743	207297	0.000000	0.000000	0.000000
FBgn0031233	Tbc1d15-17	chr2L	+	207179	210725	0.396057	6.126991	9.834203
STRG.18	-	chr2L	+	203779	204782	0.813953	12.591830	20.210672
FBgn0266557	kis	chr2L	-	210735	250823	2.916532	45.118671	72.418282
FBgn0265151	lncRNA:CR44220	chr2L	+	219651	220050	0.000000	0.000000	0.000000
FBgn0265153	lncRNA:CR44222	chr2L	+	223519	224708	0.342017	5.290994	8.492374
FBgn0265152	lncRNA:CR44221	chr2L	+	228037	228588	0.000000	0.000000	0.000000
FBgn0263465	snoRNA:kis-a	chr2L	-	232166	232253	0.000000	0.000000	0.000000
FBgn0031235	CG13693	chr2L	+	232487	234208	0.000000	0.000000	0.000000
FBgn0262252	mir-965	chr2L	-	243035	243141	0.000000	0.000000	0.000000
FBtr0304344_df_nrg	-	chr2L	-	243055	243076	0.000000	0.000000	0.000000
FBtr0472777_df_nrg	-	chr2L	-	243096	243118	0.000000	0.000000	0.000000
FBgn0265149	lncRNA:CR44218	chr2L	+	248909	249812	0.160398	2.481353	3.982726
STRG.19	-	chr2L	-	211146	216006	4.085794	63.207123	101.451370
STRG.20	-	chr2L	-	216092	228278	2.893370	44.760353	71.843163
STRG.21	-	chr2L	+	223519	224708	0.342017	5.290994	8.492374
STRG.22	-	chr2L	-	229173	242692	2.687587	41.576900	66.733513
STRG.23	-	chr2L	+	248909	249812	0.160398	2.481353	3.982726
FBgn0283652	Rpp30	chr2L	-	251039	252373	0.434389	6.719986	10.785996
FBgn0031238	CG3645	chr2L	-	252589	271744	0.602472	9.320226	14.959542
FBgn0031239	CG17075	chr2L	-	259949	267505	0.024481	0.708401	1.137028
FBgn0265150	lncRNA:CR44219	chr2L	+	262203	263003	0.000000	0.000000	0.000000
FBgn0031240	CG3345	chr2L	+	269088	271626	0.000000	0.000000	0.000000
STRG.24	-	chr2L	-	259949	267505	0.024481	0.708401	1.137028
FBgn0086912	mbm	chr2L	-	271912	273715	0.711276	11.003420	17.661175
FBgn0086856	CG11555	chr2L	+	273836	274766	0.627283	11.294936	18.129078
FBgn0086855	CG17078	chr2L	-	274740	278234	0.624492	9.660873	15.506306
FBgn0003444	smo	chr2L	+	277582	282167	0.504741	7.808330	12.532856
FBgn0031244	CG11601	chr2L	-	281670	283269	0.532369	8.235734	13.218866
FBgn0031245	CG3625	chr2L	-	283385	291795	0.229576	3.551534	5.700434
FBgn0267995	asRNA:CR46262	chr2L	+	283807	284255	0.000000	0.000000	0.000000
FBgn0267996	asRNA:CR46263	chr2L	+	286383	288292	0.000000	0.000000	0.000000
FBgn0025686	Amnionless	chr2L	-	287252	289144	0.000000	0.000000	0.000000
